Time 6.600362828
Mem 21657832
Time 7.927999001
Mem 42987976
Time 7.284168459
Mem 64312776
Time 7.511351268
Mem 85648776
Time 7.160608728
Mem 106973576
Time 7.270426479
Mem 128309576
Time 7.087507378
Mem 149634376
Time 6.917303346
Mem 170970376
Time 7.365902905
Mem 192306376
Time 7.708345172
Mem 213631176
Time 8.256167209
Mem 234989576
Time 8.086801577
Mem 256314376
Time 7.623767967
Mem 277650376
Time 7.719066387
Mem 298975176
Time 7.658932053
Mem 320311176
Time 7.766620267
Mem 341647176
Time 7.696305471
Mem 362971976
Time 7.649643153
Mem 384307976
Time 7.396501585
Mem 405632776
Time 7.551486681
Mem 426968776
Time 7.603481705
Mem 448293576
Time 7.626936540
Mem 469651976
Time 7.620117530
Mem 490987976
Time 7.453288747
Mem 512312776
Time 7.724290194
Mem 533648776
Time 7.963644381
Mem 554973576
Time 7.849450187
Mem 576309576
Time 7.605904517
Mem 597634376
Time 7.510976384
Mem 618970376
Time 7.498877889
Mem 640306376
Time 7.592823153
Mem 661631176
Time 7.799985158
Mem 682989576
Time 7.797076597
Mem 704314376
Time 7.903915884
Mem 725650376
Time 8.209994055
Mem 746975176
Time 8.071025870
Mem 768311176
Time 8.678350108
Mem 789647176
Time 8.891205247
Mem 810971976
Time 9.734139444
Mem 832307976
Time 7.882304388
Mem 853632776
Time 8.221337198
Mem 874968776
Time 8.460317294
Mem 896293576
Time 7.894574370
Mem 917651976
Time 8.588366160
Mem 938987976
Time 8.753436354
Mem 960312776
Time 8.439989448
Mem 981648776
Time 8.451832482
Mem 1002973576
Time 8.499655288
Mem 1024309576
Time 8.479266009
Mem 1045634376
Time 8.543274810
Mem 1066970376
Time 8.531007273
Mem 1088306376
Time 7.880194530
Mem 1109631176
Time 8.583427193
Mem 1130989576
Time 8.080249383
Mem 1152314376
Time 7.693479968
Mem 1173650376
Time 7.953456174
Mem 1194975176
Time 9.729666406
Mem 1216311176
Time 9.858242577
Mem 1237647176
Time 9.720000268
Mem 1258971976
Time 10.017793207
Mem 1280307976
Time 8.351863470
Mem 1301632776
Time 8.236367391
Mem 1322968776
Time 8.218881380
Mem 1344293576
Time 8.368356845
Mem 1365651976
Time 8.299815822
Mem 1386987976
Time 8.821606181
Mem 1408312776
Time 8.723536898
Mem 1429648776
Time 8.911596503
Mem 1450973576
Time 8.665148588
Mem 1472309576
Time 8.527355480
Mem 1493634376
Time 8.666458127
Mem 1514970376
Time 8.517447176
Mem 1536306376
Time 8.514671426
Mem 1557631176
Time 9.003701204
Mem 1578989576
Time 8.429577977
Mem 1600314376
Time 8.449655558
Mem 1621650376
Time 8.742575297
Mem 1642975176
Time 8.878887679
Mem 1664311176
Time 9.194479780
Mem 1685647176
Time 8.586160253
Mem 1706971976
Time 8.867216045
Mem 1728307976
Time 8.453793006
Mem 1749632776
Time 8.688178510
Mem 1770968776
Time 8.697718690
Mem 1792293576
Time 8.599751127
Mem 1813651976
Time 8.196179646
Mem 1834987976
Time 9.312672683
Mem 1856312776
Time 8.657660626
Mem 1877648776
Time 8.846068252
Mem 1898973576
Time 9.164941451
Mem 1920309576
