num_hyperplanes,secs,nanos,avg_abs_err
0,22,159820574,0
1,17,734380552,0.006092805457179439
2,6,567975872,0.020448444944394146
4,2,702047123,0.026691469129660184
8,0,490399857,0.09013494344775382
16,0,88283088,0.2427212307861256
32,0,24288326,0.4372159822567273
64,0,31968289,0.4888479116208026
